id,name,price,price_delta_season,price_delta_race,probability_price_up_percentage,probability_price_down_percentage,selection_percentage,selection_percentage_delta_season,datetime,timestamp
29,N. Mazepin,5.4,-0.1,-0.1,0,5,5,0,2021-03-31 00:06:14,1617145574
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 00:06:14,1617145574
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 00:06:14,1617145574
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 00:06:14,1617145574
6,Alpine,15.3,-0.1,-0.1,0,64,3,0,2021-03-31 00:06:14,1617145574
5,Red Bull,26.0,0.1,0.1,7,0,31,1,2021-03-31 00:06:14,1617145574
25,Y. Tsunoda,9.0,0.2,0.2,74,0,29,3,2021-03-31 00:06:14,1617145574
19,S. Vettel,15.9,-0.3,-0.3,0,87,17,-2,2021-03-31 00:06:14,1617145574
23,C. Sainz,14.4,0.0,0.0,0,37,27,0,2021-03-31 00:06:14,1617145574
24,P. Gasly,11.7,0.0,0.0,85,0,43,1,2021-03-31 00:06:14,1617145574
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 00:06:14,1617145574
14,M. Verstappen,24.9,0.1,0.1,92,0,52,2,2021-03-31 00:06:14,1617145574
22,C. Leclerc,17.1,0.3,0.3,11,0,29,2,2021-03-31 00:06:14,1617145574
18,L. Stroll,13.8,-0.1,-0.1,0,8,10,-1,2021-03-31 00:06:14,1617145574
2,Williams,6.3,0.0,0.0,0,17,1,0,2021-03-31 00:06:14,1617145574
20,E. Ocon,9.9,-0.2,-0.2,0,9,16,-1,2021-03-31 00:06:14,1617145574
17,D. Ricciardo,17.1,-0.2,-0.2,0,8,37,-2,2021-03-31 00:06:14,1617145574
16,L. Norris,13.2,0.1,0.1,67,0,53,2,2021-03-31 00:06:14,1617145574
15,S. Perez,18.3,-0.1,-0.1,0,0,32,0,2021-03-31 00:06:14,1617145574
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 00:06:14,1617145574
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 00:06:14,1617145574
21,F. Alonso,15.5,-0.1,-0.1,0,96,13,-1,2021-03-31 00:06:14,1617145574
1,Ferrari,18.2,0.1,0.1,57,0,8,0,2021-03-31 00:06:14,1617145574
12,L. Hamilton,33.5,0.0,0.0,0,53,29,0,2021-03-31 00:06:14,1617145574
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 00:06:14,1617145574
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 00:06:14,1617145574
28,M. Schumacher,5.8,0.0,0.0,0,18,27,0,2021-03-31 00:06:14,1617145574
9,Aston Martin,17.3,-0.3,-0.3,0,60,7,-1,2021-03-31 00:06:14,1617145574
7,AlphaTauri,12.9,0.2,0.2,15,0,6,0,2021-03-31 00:06:14,1617145574
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 00:06:14,1617145574
29,N. Mazepin,5.4,-0.1,-0.1,0,5,5,0,2021-03-31 00:07:15,1617145635
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 00:07:15,1617145635
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 00:07:15,1617145635
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 00:07:15,1617145635
6,Alpine,15.3,-0.1,-0.1,0,64,3,0,2021-03-31 00:07:15,1617145635
5,Red Bull,26.0,0.1,0.1,7,0,31,1,2021-03-31 00:07:15,1617145635
25,Y. Tsunoda,9.0,0.2,0.2,74,0,29,3,2021-03-31 00:07:15,1617145635
19,S. Vettel,15.9,-0.3,-0.3,0,87,17,-2,2021-03-31 00:07:15,1617145635
23,C. Sainz,14.4,0.0,0.0,0,37,27,0,2021-03-31 00:07:15,1617145635
24,P. Gasly,11.7,0.0,0.0,85,0,43,1,2021-03-31 00:07:15,1617145635
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 00:07:15,1617145635
14,M. Verstappen,24.9,0.1,0.1,92,0,52,2,2021-03-31 00:07:15,1617145635
22,C. Leclerc,17.1,0.3,0.3,11,0,29,2,2021-03-31 00:07:15,1617145635
18,L. Stroll,13.8,-0.1,-0.1,0,8,10,-1,2021-03-31 00:07:15,1617145635
2,Williams,6.3,0.0,0.0,0,17,1,0,2021-03-31 00:07:15,1617145635
20,E. Ocon,9.9,-0.2,-0.2,0,9,16,-1,2021-03-31 00:07:15,1617145635
17,D. Ricciardo,17.1,-0.2,-0.2,0,8,37,-2,2021-03-31 00:07:15,1617145635
16,L. Norris,13.2,0.1,0.1,67,0,53,2,2021-03-31 00:07:15,1617145635
15,S. Perez,18.3,-0.1,-0.1,0,0,32,0,2021-03-31 00:07:15,1617145635
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 00:07:15,1617145635
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 00:07:15,1617145635
21,F. Alonso,15.5,-0.1,-0.1,0,96,13,-1,2021-03-31 00:07:15,1617145635
1,Ferrari,18.2,0.1,0.1,57,0,8,0,2021-03-31 00:07:15,1617145635
12,L. Hamilton,33.5,0.0,0.0,0,53,29,0,2021-03-31 00:07:15,1617145635
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 00:07:15,1617145635
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 00:07:15,1617145635
28,M. Schumacher,5.8,0.0,0.0,0,18,27,0,2021-03-31 00:07:15,1617145635
9,Aston Martin,17.3,-0.3,-0.3,0,60,7,-1,2021-03-31 00:07:15,1617145635
7,AlphaTauri,12.9,0.2,0.2,15,0,6,0,2021-03-31 00:07:15,1617145635
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 00:07:15,1617145635
29,N. Mazepin,5.4,-0.1,-0.1,0,5,5,0,2021-03-31 00:33:49,1617147229
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 00:33:49,1617147229
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 00:33:49,1617147229
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 00:33:49,1617147229
